"","Country.Name","Country.Code","Region","IncomeGroup","year","numberRefs","popn","gdp"
"176","Pakistan","PAK","South Asia","Lower middle income","1990",3255975,107607639,1975.81963057915
"177","Panama","PAN","Latin America & Caribbean","Upper middle income","1990",1350,2471010,4854.1404155561
"178","Peru","PER","Latin America & Caribbean","Upper middle income","1990",724,21826658,3403.90845680389
"179","Philippines","PHL","East Asia & Pacific","Lower middle income","1990",19860,61947340,2591.92692088441
"180","Palau","PLW","East Asia & Pacific","Upper middle income","1990",NA,15089,NA
"181","Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","1990",7099,4157903,1038.47601034661
"182","Poland","POL","Europe & Central Asia","High income: OECD","1990",NA,38110782,5995.65336797315
"183","Puerto Rico","PRI","Latin America & Caribbean","High income: nonOECD","1990",NA,3537000,16336.2069717835
"184","Korea, Dem. People’s Rep.","PRK","East Asia & Pacific","Low income","1990",NA,20194354,NA
"185","Portugal","PRT","Europe & Central Asia","High income: OECD","1990",867,9983218,11185.0787661526
"186","Paraguay","PRY","Latin America & Caribbean","Upper middle income","1990",66,4213740,3901.57355174473
"187","Pacific island small states","PSS","","","1990",NA,1685260,2759.6780994436
"188","French Polynesia","PYF","East Asia & Pacific","High income: nonOECD","1990",NA,198370,NA
"189","Qatar","QAT","Middle East & North Africa","High income: nonOECD","1990",NA,476478,NA
"190","Romania","ROU","Europe & Central Asia","Upper middle income","1990",NA,23201835,5185.77224944025
"191","Russian Federation","RUS","Europe & Central Asia","High income: nonOECD","1990",NA,148292000,8012.8023168734
"192","Rwanda","RWA","Sub-Saharan Africa","Low income","1990",23601,7259740,549.619853685006
"193","South Asia","SAS","","","1990",3486713,1132770314,1203.82288718657
"194","Saudi Arabia","SAU","Middle East & North Africa","High income: nonOECD","1990",NA,16361453,22843.1003743233
"195","Sudan","SDN","Sub-Saharan Africa","Lower middle income","1990",1031050,20008804,1133.19032883916
"196","Senegal","SEN","Sub-Saharan Africa","Lower middle income","1990",58113,7514201,1204.49723023745
"197","Singapore","SGP","East Asia & Pacific","High income: nonOECD","1990",146,3047132,22179.5104076343
"198","Solomon Islands","SLB","East Asia & Pacific","Lower middle income","1990",NA,311849,1158.6019087317
"199","Sierra Leone","SLE","Sub-Saharan Africa","Low income","1990",125830,3931208,888.856760419223
"200","El Salvador","SLV","Latin America & Caribbean","Lower middle income","1990",20300,5252082,2929.36663491518
"201","San Marino","SMR","Europe & Central Asia","High income: nonOECD","1990",NA,24045,NA
"202","Somalia","SOM","Sub-Saharan Africa","Low income","1990",460000,6321615,NA
"203","Serbia","SRB","Europe & Central Asia","Upper middle income","1990",NA,7586000,NA
"204","Sub-Saharan Africa (developing only)","SSA","","","1990",5641625,508168676,1615.02823074441
"205","South Sudan","SSD","Sub-Saharan Africa","Low income","1990",NA,5762190,NA
"206","Sub-Saharan Africa (all income levels)","SSF","","","1990",5641625,508616039,1614.98042612048
"207","Small states","SST","","","1990",155229,20891016,3992.66909331026
"208","Sao Tome and Principe","STP","Sub-Saharan Africa","Lower middle income","1990",NA,113575,NA
"209","Suriname","SUR","Latin America & Caribbean","Upper middle income","1990",NA,408276,6840.54368833772
"210","Slovak Republic","SVK","Europe & Central Asia","High income: OECD","1990",NA,5299187,NA
"211","Slovenia","SVN","Europe & Central Asia","High income: OECD","1990",NA,1998161,NA
"212","Sweden","SWE","Europe & Central Asia","High income: OECD","1990",109663,8558835,20075.8339303047
"213","Swaziland","SWZ","Sub-Saharan Africa","Lower middle income","1990",42074,862728,4082.03107647977
"214","Sint Maarten (Dutch part)","SXM","Latin America & Caribbean","High income: nonOECD","1990",NA,NA,NA
"215","Seychelles","SYC","Sub-Saharan Africa","High income: nonOECD","1990",NA,70000,9123.92022007128
"216","Syrian Arab Republic","SYR","Middle East & North Africa","Lower middle income","1990",284856,12451539,NA
"217","Turks and Caicos Islands","TCA","Latin America & Caribbean","High income: nonOECD","1990",NA,11550,NA
"218","Chad","TCD","Sub-Saharan Africa","Low income","1990",NA,5958022,717.572659275972
"219","Togo","TGO","Sub-Saharan Africa","Low income","1990",3477,3786942,872.635285124449
"220","Thailand","THA","East Asia & Pacific","Upper middle income","1990",99821,56582824,4298.5626808215
"221","Tajikistan","TJK","Europe & Central Asia","Lower middle income","1990",NA,5297286,2349.63951498812
"222","Turkmenistan","TKM","Europe & Central Asia","Upper middle income","1990",NA,3668000,5398.95104593484
"223","Timor-Leste","TLS","East Asia & Pacific","Lower middle income","1990",NA,740231,NA
"224","Tonga","TON","East Asia & Pacific","Upper middle income","1990",NA,95152,2308.97799204842
"225","Trinidad and Tobago","TTO","Latin America & Caribbean","High income: nonOECD","1990",NA,1221904,7838.67865105941
"226","Tunisia","TUN","Middle East & North Africa","Upper middle income","1990",30,8154400,3669.31718592235
"227","Turkey","TUR","Europe & Central Asia","Upper middle income","1990",28000,53994605,4438.79261008645
"228","Tuvalu","TUV","East Asia & Pacific","Upper middle income","1990",NA,9004,1531.34637265938
"229","Tanzania","TZA","Sub-Saharan Africa","Low income","1990",265184,25458208,951.831712663139
"230","Uganda","UGA","Sub-Saharan Africa","Low income","1990",145718,17384369,499.842728774507
"231","Ukraine","UKR","Europe & Central Asia","Lower middle income","1990",NA,51892000,6780.27383883338
"232","Upper middle income","UMC","","","1990",6699555,1856988231,2818.96276040569
"233","Uruguay","URY","Latin America & Caribbean","High income: nonOECD","1990",87,3109987,6360.38661805011
"234","United States","USA","North America","High income: OECD","1990",464887,249623000,23954.4793548671
"235","Uzbekistan","UZB","Europe & Central Asia","Lower middle income","1990",NA,20510000,1959.3601757572
"236","St. Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","1990",NA,107509,3604.5029787298
"237","Venezuela, RB","VEN","Latin America & Caribbean","High income: nonOECD","1990",1750,19861959,9339.95302368413
"238","Virgin Islands (U.S.)","VIR","Latin America & Caribbean","High income: nonOECD","1990",NA,103963,NA
"239","Vietnam","VNM","East Asia & Pacific","Lower middle income","1990",21150,66016700,970.235652440424
"240","Vanuatu","VUT","East Asia & Pacific","Lower middle income","1990",NA,146633,1647.70027262875
"241","West Bank and Gaza","PSE","Middle East & North Africa","Lower middle income","1990",910637,1978248,NA
"242","World","WLD","","","1990",19805688,5282753965,5401.25426881254
"243","Samoa","WSM","East Asia & Pacific","Lower middle income","1990",NA,162865,2358.12043329383
"244","Yemen, Rep.","YEM","Middle East & North Africa","Lower middle income","1990",2938,11961099,2192.43683832013
"245","South Africa","ZAF","Sub-Saharan Africa","Upper middle income","1990",NA,35200000,6698.47979483431
"246","Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","1990",416435,34962676,819.360585336099
"247","Zambia","ZMB","Sub-Saharan Africa","Lower middle income","1990",138049,8143142,1498.41938614898
"248","Zimbabwe","ZWE","Sub-Saharan Africa","Low income","1990",190950,10484771,1632.68393004905
"249","Aruba","ABW","Latin America & Caribbean","High income: nonOECD","1991",NA,64623,NA
"250","Andorra","AND","Europe & Central Asia","High income: nonOECD","1991",NA,56674,NA
"251","Afghanistan","AFG","South Asia","Low income","1991",38,12789374,NA
"252","Angola","AGO","Sub-Saharan Africa","Upper middle income","1991",11022,11472173,NA
"253","Albania","ALB","Europe & Central Asia","Upper middle income","1991",NA,3266790,2011.84388141283
"254","Arab World","ARB","","","1991",3811595,228177371,6394.21117917583
"255","United Arab Emirates","ARE","Middle East & North Africa","High income: nonOECD","1991",NA,1913190,73036.9966064691
"256","Argentina","ARG","Latin America & Caribbean","High income: nonOECD","1991",11529,33193920,NA
"257","Armenia","ARM","Europe & Central Asia","Lower middle income","1991",NA,3511912,2223.44426285485
"258","American Samoa","ASM","East Asia & Pacific","Upper middle income","1991",NA,48379,NA
"259","Antigua and Barbuda","ATG","Latin America & Caribbean","High income: nonOECD","1991",NA,62412,11594.5750617968
"260","Australia","AUS","East Asia & Pacific","High income: OECD","1991",53117,17284000,17815.7947370697
"261","Austria","AUT","Europe & Central Asia","High income: OECD","1991",34508,7754891,20625.8813298224
"262","Azerbaijan","AZE","Europe & Central Asia","Upper middle income","1991",NA,7271000,5558.81841314857
"263","Burundi","BDI","Sub-Saharan Africa","Low income","1991",270136,5759429,717.017624177528
"264","Belgium","BEL","Europe & Central Asia","High income: OECD","1991",24071,10004486,19973.5706049598
"265","Benin","BEN","Sub-Saharan Africa","Low income","1991",456,5182525,978.041057940764
"266","Burkina Faso","BFA","Sub-Saharan Africa","Low income","1991",320,9050090,582.396119947261
"267","Bangladesh","BGD","South Asia","Lower middle income","1991",40260,108509679,871.0798765671
"268","Bulgaria","BGR","Europe & Central Asia","Upper middle income","1991",NA,8632367,5161.88302933368
"269","Bahrain","BHR","Middle East & North Africa","High income: nonOECD","1991",NA,509654,25588.1656752509
"270","Bahamas, The","BHS","Latin America & Caribbean","High income: nonOECD","1991",NA,261117,15253.2558345868
"271","Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","1991",NA,4437898,NA
"272","Belarus","BLR","Europe & Central Asia","Upper middle income","1991",NA,10194000,5331.20532535228
"273","Belize","BLZ","Latin America & Caribbean","Upper middle income","1991",29969,191127,3740.84822046405
"274","Bermuda","BMU","North America","High income: nonOECD","1991",NA,59021,26261.1259418547
"275","Bolivia","BOL","Latin America & Caribbean","Lower middle income","1991",341,6992521,2555.46885243457
"276","Brazil","BRA","Latin America & Caribbean","Upper middle income","1991",5389,152916852,6831.45970363823
"277","Barbados","BRB","Latin America & Caribbean","High income: nonOECD","1991",NA,261281,8499.59678659714
"278","Brunei Darussalam","BRN","East Asia & Pacific","High income: nonOECD","1991",NA,264365,51601.0937284707
"279","Bhutan","BTN","South Asia","Lower middle income","1991",NA,534678,1554.09666629512
"280","Botswana","BWA","Sub-Saharan Africa","Upper middle income","1991",1054,1420098,5647.62568443586
"281","Central African Republic","CAF","Sub-Saharan Africa","Low income","1991",12223,3010950,606.409247417342
"282","Canada","CAN","North America","High income: OECD","1991",170916,28171682,19973.9903678772
"283","Central Europe and the Baltics","CEB","","","1991",75730,110290445,6410.7895166874
"284","Switzerland","CHE","Europe & Central Asia","High income: OECD","1991",45622,6799978,27030.9270920898
"285","Channel Islands","CHI","Europe & Central Asia","High income: nonOECD","1991",NA,141568,NA
"286","Chile","CHL","Latin America & Caribbean","High income: OECD","1991",72,13354054,4887.03339064342
"287","China","CHN","East Asia & Pacific","Upper middle income","1991",289061,1150780000,1091.44883055913
"288","Cote d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income","1991",230290,12600967,2077.38742867365
"289","Cameroon","CMR","Sub-Saharan Africa","Lower middle income","1991",45237,12430311,1726.9019473478
"290","Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","1991",3395,2450125,3501.37114093542
"291","Colombia","COL","Latin America & Caribbean","Upper middle income","1991",450,34916770,5050.71925173355
"292","Comoros","COM","Sub-Saharan Africa","Low income","1991",NA,427556,939.506251155335
"293","Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","1991",3,349326,1098.18856834489
"294","Costa Rica","CRI","Latin America & Caribbean","Upper middle income","1991",117492,3175654,4869.36599573351
"295","Caribbean small states","CSS","","","1991",29973,6001738,6162.21929255289
"296","Cuba","CUB","Latin America & Caribbean","Upper middle income","1991",NA,10664577,8104.65252665829
"297","Curacao","CUW","Latin America & Caribbean","High income: nonOECD","1991",NA,144403,NA
"298","Cayman Islands","CYM","Latin America & Caribbean","High income: nonOECD","1991",NA,26211,NA
"299","Cyprus","CYP","Europe & Central Asia","High income: nonOECD","1991",60,783138,13378.4126043693
"300","Czech Republic","CZE","Europe & Central Asia","High income: OECD","1991",691,10308578,11641.2959228467
"301","Germany","DEU","Europe & Central Asia","High income: OECD","1991",821500,80013896,20520.7393997643
"302","Djibouti","DJI","Middle East & North Africa","Lower middle income","1991",96144,610679,1916.97978603183
"303","Dominica","DMA","Latin America & Caribbean","Upper middle income","1991",NA,70849,4521.86591424498
